public_date,user_name,review_text
a day ago,Simu Sidhu,Worst experience and racist staff
2 days ago,Dina Brooks,Best prices
5 days ago,Stacey Salvati,Always clean and well stocked!
a week ago,Demetrios Kirbas,"Always has things in stock for the most part, but parking lot is hectic as you would expect"
a week ago,Tom Ricker,"Friendly, busy."
a week ago,Shannon Van Ekeren,"Friendly and fast...they keep the people moving. Even with a line up outside, you are in quick."
a week ago,Rodney Whitfield,"I have to say I love Costco , but during this times, I believe they could have done more seeing how they are one of the few multi million dollar buisness to remain open , and you have to buy a membership to stay alive and eat in this country now ??? C'mon government of Canada let's think about that I support Costco but there is more they could have done ,and drawn in a few more members of thank full people when or if this ends ! C'mon Costco I would like to you help out the less fortunate, and drop the fees for a while till we as a country get back on our feet ! Member for a long time !!!"
a week ago,Anthony Bolanos,Great prices and quick service only thing I did not like is the workers in the food court very rude need to learn from co workers
a week ago,Andrew Stadt,"It's a Costco, been to one, been to them all. Generally one of the better stocked ones in this area."
a week ago,rizve hasan,A typical Costco outlet.
a week ago,Christopher Gomes,"Always a season ahead, Costco treasure hunts are the best 🏃💨"
a week ago,robert mansfield,Knew what I was going in for and where to locate it. Wasn't too busy when I went. Friendly staff
2 weeks ago,JT Stone,It's a good Costco storeoption. Store is clean and has a good selection. Staff has always been nice and super helpful when needed
2 weeks ago,Larry M,Good as always! Social distancing in effect no lineups at checkout. Overall good experience
2 weeks ago,Trung Hoang,Why this place seems always crowed? Simply that they are excellent.
2 weeks ago,Frank Vega,Clean and good service
2 weeks ago,r n,Great staff very friendly the ones who check to make sure you have what you paid for are the best. All you complaing must be a stick in the mud. And the ones complaing about mask yes wear it its the law. Cant wear one don't shop? Get some one else to shop for you
2 weeks ago,Kathryn Wilking,"As usual,  lots of stuff to look at. Surprising, mid-aft on a Friday wasnt crowded at all!
Easy checkout -which is great!"
3 weeks ago,Derrick Berta,"when you need toilet paper and other incidentals, where else do you go? clean wide aisles, well stocked, thank you!"
3 weeks ago,Gayle Grant,Good servicel
3 weeks ago,Peggy Mondelli,Cashier didn't clean debit/credit machine after previous customer 😑
3 weeks ago,Scott,Gross.
3 weeks ago,Barry Goldlist,"Clean, well stocked and a self checkout"
3 weeks ago,Steve Bell,We are over 60 so we get in at 8am. Have everything we need. In and out rather quickly.
3 weeks ago,Janet Samms,Love it no line-up
3 weeks ago,Noorhan Yohanna,Good Costco
3 weeks ago,Tom Tom,"Costco is maintaining Covid-19 rules, there is line up the side of the building but i went inside under 10min. Inside there is a lot of personal space that makes it easy to shop. Is should always be like this."
3 weeks ago,Mom Of 3 Boys,The Dill Pickle salad is my new favourite!!
4 weeks ago,Zee Jafri,Pretty good place. Staff is friendly especially Charlie in the TV department. He really takes the time to explain everything which went a long way for my wife and me. Thanks Charlie.
4 weeks ago,Lynne O'Leary,This store has lots of merchandise you cant find anywhere else. They also stand behind their products
a month ago,Cecile Zarate,Lots of discounted goods. No more long lines on check out thanks to assisted self-check outs.
a month ago,Roma Shmedryk,Best Costco ever! Has everything you need and is not too crowded!
a month ago,SCH Home Improvements,Far to many people inside. Distancing was hard to accomplish.
a month ago,vik negi,Amazing service. Exceptional value as usual. But this location in particular is spectacular. Love the staff. Always super friendly and helpful
a month ago,Kurt Richardson,Renewed my client card. Friendly atmosphere well organized.
a month ago,Josephine De Simone,Great shopping store
a month ago,Tristan MacLeod,"Place is awesome, mate, frickin awesome. Alway enjoy a trip to the old costyco. Its unfortunate that I can no longer peruse the isles with a kirkland dog in one hand, and a cola in the other. But that's Covid, mate. Regardless, From cloathes to wiper blades and couches to watches, Costland has sill got some sound bargains on whatever you need. Cheers."
a month ago,金玫Barrie 华人地产经纪 Mei Jin,"Not many shoppers, feel safer."
a month ago,Deborah MacDuffie,"Asked an employee where something was, she went out of her way to take me there and inform me it was on sale. Never experienced service like that anywhere. I didn't get her name but her customer service was exceptional"
a month ago,Ali Abood,Really! You keep people standing in a line when it's below 20!! Even animals are kept in a barn during these temperatures!!
a month ago,John Wiggins,Costco offers the complete shipping experience.  Competitive prices. Try to avoid the weekend crowds. Good place for groceries and other household items and vehicle batteries and windshield wipers and tires.
a month ago,Robert Stephenson,Not convinced that the best prices are found here. Caveat emptor.
