public_date,user_name,review_text
2 hours ago,Gabby,Customer service is decent .... upset that I can’t purchase some BABY ESSENTIALS since one or two aisles we blocked off due to the new COVID restrictions. Like seriously ? I seriously feel bad for the cashiers trying to figure out what’s essential or not.
13 hours ago,Fire Ethence,Packed to the brim. Not following covid protocols AT ALL!!! The international students employees and customers REEEEKED!!!!!!! Could smell them all through out the store! Walmart talk to them about personal hygiene PLEASE!!!!
a day ago,Laurel Munshaw,"I don't want to give you any stars right now! someone explain how gardening is essential but shampoo, tampons, diapers, wipes...why are those isles closed off? this covid stuff stopped making sense along time ago."
a week ago,Michael Burnie,"It's a Walmart, so it is what it is. Problem is, this is a pretty bad Walmart as Walmarts go, primarily because shelves are often barren in the grocery and pharmaceutical sections. I've talked about this particular location to my friends that work in management positions at other Walmarts, and they tell me this location is a joke. I send them pictures like this and they can't believe it.

I really like the curbside pickup when they're on time, which is seldom. I don't believe the staff are to blame. I think it's poor management compounding with COVID.

I hate myself for going here but it's convenient and they do actually have good prices on some stuff."
2 weeks ago,Ian McLean,"For over 3 days they have been promising to fill my prescription for anti seizure medication. Everyday it's we will have it filled by tomorrow. When asking a pharmacist if they are acually fill it or not, I was hung up on. Very unrespective employees and management. Management is included because, I called back to file a complaint. Management placed me on hold for 20 mins. Then the call was picked up and hung up. They don't care as long as they get your money. Shoppers drug mart got the same prescription filled in less then 30 mins. Wasn't fun not having my meds for a day. So I won't be going into a Walmart for anything anymore."
2 weeks ago,Battlecat,"Ah Wally mart, the worst store around for service and price.  Go with Amazon if you have a choice."
a month ago,Brittany J,Always very busy with customers being far to close to one another. There is no proper control / cleanliness over self-checkout with the amount of staff on hand. Customers are rushing upto the machines before staff can even sanitize them between use.
a month ago,cole gaming and trophy guides 7,Amazing walmart by far the best one I've seen
a month ago,Heather Gosse,",i injured my finger at Walmart on Bayfield St and reported it to them and  the store had no PRODACALL for this, my finger swelled up and immediately bruised . They brushed me off and said there was nothing else to be done. I have photos of my finger, which is still bruised and my nail will fall off soo. THANKS FOR CARING WALMART"
a month ago,Anthony Lancaster,"I had an interview with this Walmart on Thursday February 25th 2021. As I waited to be interviewed a number of employees walked by not wearing their masks properly, and I saw two managers without one. When it came time to do the interview it turned out to be a group interview with 6 other individuals. When we were brought into the back and placed in the training room, which had a small table were we could not social distance. When I asked the manager how could this be loud I was told it was a none issue yet as of February 14th they had an employee test positive for Covid-19. Walmart is placing your life at risk so they can make money."
