public_date,user_name,review_text
2 days ago,Sandra Mantello,"I never shopped at Zehrs before , I'm from brampton, I was very impressed with Zehrs.I like your store."
a week ago,Raja K,"Found what I wanted, easily."
2 weeks ago,David Watson,"I personally think this location is one of the best I've ever been to. Pre-pandemic, they had hand sanitizer near the cart pickup spot. Since the pandemic, they've done a wonderful job or regulating the flow of shoppers, creating queues or lines for checkout where a store employee can direct which lane to use, and providing a washing and sanitization station near the entrance.

We've also used this location for the PC Express program a lot, especially since the pandemic. I have to say, the staff on the PC Express team at this Zehrs are phenomenal! If you forget to add an item or two to your order and it's too late to edit your order, they will do their best to accommodate you, sometimes even checking while you wait for pickup (if you're amenable to it) if they have stock. They are always extremely friendly and polite, and really make you feel - whether on the phone, or in-person - appreciated as a customer. I always enjoy my interactions with this team.

Overall, I give this Zehrs location a five for the way the store is run, all the staff who work there, and the measures they have and continue to take to make their customers feel valued."
2 weeks ago,Lisa Kalanj,"This store is by far the best and has some of the most amazing employees!!  Thank you so much for the help with my groceries today at 3pm at the self checkout, I am so thankful and appreciative for the community feel at this store, thank you, thank you, thank you:)"
3 weeks ago,Steve Bell,Lots of parking. Picked up some fresh seafood.
a month ago,Rudy Persad,Great place to shop
a month ago,Lindsay Patterson,"I absolutely love this grocery store. They follow protocols, they have such a wide variety of selections of different foods. They have the fresh butcher and seafood, bakery and deli. They have a huge selection of cheeses. There prices are decent and generally have great sales.

They have a bathroom located in the top floor and a starburst in one corner for the thirsty shopper and if your hungry a hot deli on the other side.

Product is easily located and has a general fluidity that works for both customers/consumer/business.

My daughter wants to start shopping here because she says it has everything and way more of a selection than where she lives in Alliston and she thinks it's just amazing."
a month ago,Lindsay Anger,Love the layout and the staff are nice
a month ago,NightHawk,Nice store lines where well managed.  Good quick in and out
a month ago,Chris Howell,Staff is very friendly and the store is clean.
a month ago,Patti Bunston,Went in to buy a homeless man some food.  Self checkout very well organized and very disinfected.
2 months ago,Lauren Aubin,too crowded in every section i went in and people were far too close to eachother to the point where i felt unsafe. the number of people should be better controlled/regulated there. just saying...
2 months ago,Markus Weisshaar,Well laid out for social distancing and such. Clean and well stocked.
2 months ago,Disha Patel,"This place feels unsafe during this pandemic situation as i visited there yesterday and saw they weren't sanitizing their carts they were just pilling them , bringing them from parking lot and putting them in that's it . No sanitizing. ... Really bad .."
2 months ago,Leza Carfagna,Awesome stuff
2 months ago,V Kompp,I only use pc express during these times and it is always such a great experience.
2 months ago,Jesse Tunney,Fast service clean and we'll stocked.
2 months ago,Paul Hardwick,Many staff members (mainly younger individuals) are compitant and well mannered. Several senior staff members at this location would struggle with a Walmart greeter job.
2 months ago,Al Parker,Pretty quiet first thing Saturday morning. Great pickup service!
2 months ago,mtv india,All at one place
3 months ago,Igor Gladkikh,Good place 😉
3 months ago,Rob Gajski,"Great store. Always clean. Employees make sure everyone is keeping their distance.
Produce and meat are great."
3 months ago,kayode oyewale,Good place
3 months ago,Sheila Driscoll,Love their specials; Joe fresh products. Consistently good quality food at competitive prices.
3 months ago,Brooke Hoskins,Only grocery store I've been going since pandemic. The staff are helpful an I love the fresh produce thats available seasonally ♡
3 months ago,Alexander Faulds,"The staff in the hot food area are great , keep up the good work"
3 months ago,Karam Deol,Excellent
3 months ago,Liavis Vilarino,"Quality of products are great, but a little bit more expensive groserie shop compared to competitors."
4 months ago,Penny Rebuk,"I do like going there ,good experience everytime."
4 months ago,Mike Pierce,"The grocery store is well organized and very clean, If you are looking for a safe and securing feeling while grocery shopping during covi you will be happy here. Be mindful of others and follow the arrows"
4 months ago,Maryam Piralmani,"I went  there  last week to order a cake for my son birthday and the  lady at the bakery  was super nice and attentive,  I wish I knew her name, and over all I like Zehrs, they are good.i like the atmosphere."
4 months ago,Randy Tallon,Very grocery and has become our go to place since moving to Barrie South end.
4 months ago,Gord MacCollum,Zehr's is a favorite place to shop for groceries always have what I am looking.
4 months ago,Todd Barranger,Always have plenty - but fruit and veg are costly
